,Make,Fuel,Model,Cnt,Emission,year
19008,HONDA,PETROL,HR-V SPORT I-VTEC,236,151.0,2020
19022,HONDA,PETROL,CR-V EX I-VTEC CVT,235,201.0,2020
19820,HONDA,PETROL,CR-V SE I-MMD CVT,216,165.0,2020
278,HYUNDAI,DIESEL,"TUCSON,IX35",58402,155.0,2018
435,HYUNDAI,DIESEL,TUCSON,37912,162.0,2018
1270,HYUNDAI,DIESEL,I 30,12265,123.0,2018
1328,HYUNDAI,DIESEL,I30,11750,122.0,2018
1732,HYUNDAI,DIESEL,I40,8436,136.0,2018
2352,HYUNDAI,DIESEL,TUCSON IX35,5557,169.0,2018
2541,HYUNDAI,DIESEL,"KONA, KAUAI",5026,130.0,2018
2560,HYUNDAI,DIESEL,SANTA FE,4975,184.0,2018
3027,HYUNDAI,DIESEL,"I20, I20 ACTIVE",3989,102.0,2018
3332,HYUNDAI,DIESEL,SANTA FE,3555,184.0,2018
5287,HYUNDAI,DIESEL,KONA,1911,134.0,2018
7030,HYUNDAI,DIESEL,I 40,1294,141.0,2018
7677,HYUNDAI,DIESEL,"TUCSON, IX35",1140,166.0,2018
8680,HYUNDAI,DIESEL,HYUNDAI TUCSON,940,155.0,2018
8978,HYUNDAI,DIESEL,TUCSON SE NAV CRDI 2WD,892,151.0,2018
9825,HYUNDAI,DIESEL,I800 SE NAV CRDI,772,234.0,2018
10116,HYUNDAI,DIESEL,I800 SE NAV CRDI AUTO,734,265.0,2018
10407,HYUNDAI,DIESEL,SANTA FE PREMIUM SE CRDI AUTO,702,191.0,2018
10483,HYUNDAI,DIESEL,"H-1,STAREX,GRAND STAREX",694,258.0,2018
11228,HYUNDAI,DIESEL,I30 SE CRDI,622,123.0,2018
11233,HYUNDAI,DIESEL,I30 SE NAV CRDI,622,124.0,2018
11440,HYUNDAI,DIESEL,I30 SE NAV CRDI S-A,602,126.0,2018
13202,HYUNDAI,DIESEL,I800 SE CRDI,468,234.0,2018
13565,HYUNDAI,DIESEL,I800 SE CRDI AUTO,446,265.0,2018
13571,HYUNDAI,DIESEL,TUCSON PREMIUM CRDI 2WD,446,153.0,2018
15197,HYUNDAI,DIESEL,TUCSON PREMIUM SE CRDI 2WD S-A,362,159.0,2018
15661,HYUNDAI,DIESEL,"I30,I30N",342,123.0,2018
16727,HYUNDAI,DIESEL,I30 PREMIUM CRDI,302,124.0,2018
378,HYUNDAI,DIESEL,TUCSONIX35,44159,152.0,2019
477,HYUNDAI,DIESEL,TUCSON,35511,159.0,2019
1084,HYUNDAI,DIESEL,I 30,14710,124.0,2019
1257,HYUNDAI,DIESEL,KONA KAUAI,12404,133.0,2019
1370,HYUNDAI,DIESEL,SANTA FE,11327,187.0,2019
1429,HYUNDAI,DIESEL,KONA,10711,136.0,2019
1721,HYUNDAI,DIESEL,TUCSON IX35,8492,167.0,2019
2363,HYUNDAI,DIESEL,HYUNDAI TUCSON,5526,156.0,2019
2436,HYUNDAI,DIESEL,I30,5316,125.0,2019
3919,HYUNDAI,DIESEL,I40,2898,136.0,2019
5355,HYUNDAI,DIESEL,SANTA,1880,179.0,2019
5711,HYUNDAI,DIESEL,I800 SE NAV CRDI,1724,238.0,2019
6143,HYUNDAI,DIESEL,TUCSON SE NAV CRDI 2WD,1566,151.0,2019
6185,HYUNDAI,DIESEL,SANTA FE PREMIUM SE CRDI AUTO,1548,191.0,2019
8545,HYUNDAI,DIESEL,I800 SE CRDI,964,234.0,2019
8831,HYUNDAI,DIESEL,H-1STAREXGRAND STAREX,918,258.0,2019
9725,HYUNDAI,DIESEL,TUCSON PREMIUM CRDI 2WD,786,152.0,2019
10915,HYUNDAI,DIESEL,I40 SE NAV CRDI,652,138.0,2019
10965,HYUNDAI,DIESEL,TUCSON PREMIUM SE CRDI 2WD S-A,648,159.0,2019
11149,HYUNDAI,DIESEL,TUCSON PREMIUM SE CRDI AUTO,630,180.0,2019
11499,HYUNDAI,DIESEL,I800 SE NAV CRDI AUTO,596,265.0,2019
11805,HYUNDAI,DIESEL,I 40,568,141.0,2019
11978,HYUNDAI,DIESEL,KONAKAUAI,554,134.0,2019
12356,HYUNDAI,DIESEL,HYUNDAI I 30,524,124.0,2019
12726,HYUNDAI,DIESEL,I30 SE NAV CRDI,500,127.0,2019
13246,HYUNDAI,DIESEL,SANTA FE PREMIUM CRDI AUTO,464,186.0,2019
13524,HYUNDAI,DIESEL,"HYUNDAI KONA, KAUAI",448,131.0,2019
13579,HYUNDAI,DIESEL,I800 SE CRDI AUTO,446,265.0,2019
13708,HYUNDAI,DIESEL,TUCSON PREMIUM CRDI 2WD S-A,438,158.0,2019
13764,HYUNDAI,DIESEL,HYUNDAI SANTA FE,434,185.0,2019
13858,HYUNDAI,DIESEL,KAUAI,428,133.0,2019
15227,HYUNDAI,DIESEL,TUCSON SE NAV CRDI 2WD S-A,360,157.0,2019
16023,HYUNDAI,DIESEL,I30I30N,328,126.0,2019
16313,HYUNDAI,DIESEL,TUCSON PREMIUM SE CRDI 2WD,318,161.0,2019
17947,HYUNDAI,DIESEL,H-1 STAREX,264,244.0,2019
19519,HYUNDAI,DIESEL,TUCSN PRM SE48V MHEV CRDI2WDSA,222,148.0,2019
19545,HYUNDAI,DIESEL,I40 SE NAV CRDI S-A,222,139.0,2019
964,HYUNDAI,DIESEL,TUCSON,17117,150.0,2020
1139,HYUNDAI,DIESEL,TUCSON IX35,13972,152.0,2020
2565,HYUNDAI,DIESEL,SANTA FE,4971,185.0,2020
3014,HYUNDAI,DIESEL,KONA,4004,136.0,2020
3109,HYUNDAI,DIESEL,I 30,3852,125.0,2020
5246,HYUNDAI,DIESEL,KONA  KAUAI,1936,132.0,2020
6352,HYUNDAI,DIESEL,I30,1492,124.0,2020
7061,HYUNDAI,DIESEL,TUCSON SE NAV48V MHEV CRDI 2WD,1286,140.0,2020
7813,HYUNDAI,DIESEL,TUCSON N LNE 48V MHEV CRDI 2WD,1109,150.0,2020
7909,HYUNDAI,DIESEL,TUCSON N LN48V MHEV CRDI2WD SA,1087,145.0,2020
8739,HYUNDAI,DIESEL,TUCSON,931,142.0,2020
11291,HYUNDAI,DIESEL,HYUNDAI TUCSON IX35,616,155.0,2020
11408,HYUNDAI,DIESEL,KONA KAUAI,605,138.0,2020
11953,HYUNDAI,DIESEL,HYUNDAI TUCSON,556,156.0,2020
13242,HYUNDAI,DIESEL,TUCSON  IX35,465,152.0,2020
15168,HYUNDAI,DIESEL,SANTA FE PREMIUM SE CRDI AUTO,362,191.0,2020
16339,HYUNDAI,DIESEL,SANTA,316,176.0,2020
16367,HYUNDAI,DIESEL,HYUNDAI KONA  KAUAI,315,132.0,2020
16435,HYUNDAI,DIESEL,H-1STAREXGRAND STAREX,312,260.0,2020
18766,HYUNDAI,DIESEL,TUCSON IX35,241,144.0,2020
3395,HYUNDAI,ELECTRIC,IONIQ,3470,0.0,2017
1391,HYUNDAI,ELECTRIC,IONIQ,11140,0.0,2018
3978,HYUNDAI,ELECTRIC,KONA,2849,0.0,2018
6981,HYUNDAI,ELECTRIC,"KONA, KAUAI",1306,0.0,2018
18457,HYUNDAI,ELECTRIC,KONA PREMIUM SE EV AUTO,248,0.0,2018
625,HYUNDAI,ELECTRIC,KONA,27783,0.0,2019
982,HYUNDAI,ELECTRIC,IONIQ,16653,0.0,2019
1471,HYUNDAI,ELECTRIC,KONA KAUAI,10284,0.0,2019
6639,HYUNDAI,ELECTRIC,KONA PREMIUM SE EV AUTO,1402,0.0,2019
7115,HYUNDAI,ELECTRIC,HYUNDAI KONA,1272,0.0,2019
9265,HYUNDAI,ELECTRIC,KAUAI,852,0.0,2019
12389,HYUNDAI,ELECTRIC,IONIQ PREMIUM EV,522,0.0,2019
13942,HYUNDAI,ELECTRIC,IONIQ PREMIUM SE EV,424,0.0,2019
16344,HYUNDAI,ELECTRIC,KONA PREMIUM EV AUTO,316,0.0,2019
16938,HYUNDAI,ELECTRIC,NEXO,294,0.0,2019
17758,HYUNDAI,ELECTRIC,HYUNDAI IONIQ,270,0.0,2019
1075,HYUNDAI,ELECTRIC,KONA,14892,0.0,2020
1475,HYUNDAI,ELECTRIC,KONA,10245,0.0,2020
1848,HYUNDAI,ELECTRIC,KONA KAUAI,7689,0.0,2020
1888,HYUNDAI,ELECTRIC,IONIQ,7473,0.0,2020
2141,HYUNDAI,ELECTRIC,KONA KAUAI,6383,0.0,2020
4955,HYUNDAI,ELECTRIC,KONA PREMIUM SE EV AUTO,2098,0.0,2020
4966,HYUNDAI,ELECTRIC,KONA PREMIUM EV AUTO,2093,0.0,2020
5723,HYUNDAI,ELECTRIC,IONIQ PREMIUM EV,1722,0.0,2020
5836,HYUNDAI,ELECTRIC,KONA  KAUAI,1678,0.0,2020
8291,HYUNDAI,ELECTRIC,HYUNDAI KONA  KAUAI,1011,0.0,2020
8345,HYUNDAI,ELECTRIC,IONIQ PREMIUM SE EV,1000,0.0,2020
13070,HYUNDAI,ELECTRIC,KAUAI,477,0.0,2020
19864,HYUNDAI,ELECTRIC,NEXO,215,0.0,2020
4688,HYUNDAI,LPG,IX20 BI-FUEL,2277,172.0,2019
4691,HYUNDAI,LPG,IX20 BI-FUEL,2273,144.0,2019
6025,HYUNDAI,LPG,I10 BI-FUEL,1606,121.0,2019
6027,HYUNDAI,LPG,I10 BI-FUEL,1606,121.0,2019
6840,HYUNDAI,LPG,I20 BI-FUEL,1344,129.0,2019
6856,HYUNDAI,LPG,I20 BI-FUEL,1340,129.0,2019
11345,HYUNDAI,LPG,I20 I20 ACTIVE,610,133.0,2019
6026,HYUNDAI,LPG,I20 BI-FUEL,1606,129.0,2020
6459,HYUNDAI,LPG,I10 BI-FUEL,1457,121.0,2020
18232,HYUNDAI,LPG,I10 BI-FUEL,255,109.0,2020
118,HYUNDAI,PETROL,I10,99882,132.0,2018
234,HYUNDAI,PETROL,I 30,66843,147.0,2018
258,HYUNDAI,PETROL,"I20, I20 ACTIVE",62017,134.0,2018
279,HYUNDAI,PETROL,I20,58243,136.0,2018
371,HYUNDAI,PETROL,"KONA, KAUAI",45294,155.0,2018
393,HYUNDAI,PETROL,TUCSON IX35,42516,184.0,2018
396,HYUNDAI,PETROL,KONA,41681,153.0,2018
412,HYUNDAI,PETROL,TUCSON,40603,184.0,2018
499,HYUNDAI,PETROL,I30,34098,146.0,2018
622,HYUNDAI,PETROL,"TUCSON,IX35",27842,183.0,2018
677,HYUNDAI,PETROL,IX20,25362,182.0,2018
745,HYUNDAI,PETROL,I 20,23100,135.0,2018
830,HYUNDAI,PETROL,IONIQ,20145,104.0,2018
1016,HYUNDAI,PETROL,I10 SE,15984,128.0,2018
1177,HYUNDAI,PETROL,"KONA,",13618,145.0,2018
1217,HYUNDAI,PETROL,I 10,13039,132.0,2018
1308,HYUNDAI,PETROL,I10 GO SE,11888,127.0,2018
1428,HYUNDAI,PETROL,I20 ACTIVE,10712,135.0,2018
1654,HYUNDAI,PETROL,TUCSON SE NAV GDI 2WD,8960,183.0,2018
1786,HYUNDAI,PETROL,IX 20,8050,174.0,2018
1795,HYUNDAI,PETROL,I 30 N,7996,187.0,2018
1863,HYUNDAI,PETROL,I20 SE MPI,7610,137.0,2018
2465,HYUNDAI,PETROL,IONIQ PREMIUM HEV S-A,5244,103.0,2018
2542,HYUNDAI,PETROL,KONA SE,5024,145.0,2018
2714,HYUNDAI,PETROL,I40,4630,162.0,2018
2860,HYUNDAI,PETROL,I30 SE NAV T-GDI,4326,141.0,2018
2968,HYUNDAI,PETROL,I10 PREMIUM,4126,134.0,2018
3015,HYUNDAI,PETROL,KONA PREMIUM,4002,146.0,2018
3069,HYUNDAI,PETROL,IONIQ PREMIUM SE HEV S-A,3928,104.0,2018
3090,HYUNDAI,PETROL,IONIQ SE HEV S-A,3892,103.0,2018
3191,HYUNDAI,PETROL,I10 SE AUTO,3750,155.0,2018
4275,HYUNDAI,PETROL,I10 PREMIUM SE AUTO,2598,157.0,2018
4337,HYUNDAI,PETROL,I10 PREMIUM SE,2546,140.0,2018
4372,HYUNDAI,PETROL,KONA PREMIUM SE,2518,146.0,2018
4664,HYUNDAI,PETROL,"TUCSON, IX35",2294,181.0,2018
4745,HYUNDAI,PETROL,HYUNDAI TUCSON,2234,181.0,2018
4970,HYUNDAI,PETROL,I30 SE T-GDI,2092,139.0,2018
5272,HYUNDAI,PETROL,I10 S,1922,127.0,2018
5374,HYUNDAI,PETROL,TUCSON S CONNECT GDI 2WD,1870,181.0,2018
5451,HYUNDAI,PETROL,I30 N PERFORMANCE T-GDI,1832,188.0,2018
5653,HYUNDAI,PETROL,KAUAI,1746,146.0,2018
5804,HYUNDAI,PETROL,HYUNDAI KONA,1690,153.0,2018
6549,HYUNDAI,PETROL,I10 PREMIUM AUTO,1428,156.0,2018
6667,HYUNDAI,PETROL,KONA PREMIUM GT 4X4 S-A,1396,189.0,2018
6694,HYUNDAI,PETROL,I20 PREMIUM NAV MPI,1388,139.0,2018
6772,HYUNDAI,PETROL,"I30,I30N",1364,155.0,2018
6794,HYUNDAI,PETROL,TUCSON SE NAV T-GDI 2WD S-A,1356,177.0,2018
7887,HYUNDAI,PETROL,TUCSON PREMIUM GDI 2WD,1092,185.0,2018
7965,HYUNDAI,PETROL,I30 S T-GDI,1074,133.0,2018
8630,HYUNDAI,PETROL,I30 SE NAV T-GDI S-A,948,141.0,2018
8746,HYUNDAI,PETROL,HYUNDAI I20,930,136.0,2018
8803,HYUNDAI,PETROL,I20 PREMIUM NAV T-GDI,922,134.0,2018
8806,HYUNDAI,PETROL,I30 N,922,187.0,2018
9302,HYUNDAI,PETROL,KONA S,848,142.0,2018
9708,HYUNDAI,PETROL,I20 S-CONNECT MPI,788,136.0,2018
9724,HYUNDAI,PETROL,I20 SE T-GDI,786,132.0,2018
9869,HYUNDAI,PETROL,TUCSON PREMIUM T-GDI 2WD S-A,768,178.0,2018
10464,HYUNDAI,PETROL,KONA / 1.0 / T-GDI,696,143.0,2018
10479,HYUNDAI,PETROL,I20 SE T-GDI S-A,694,129.0,2018
10589,HYUNDAI,PETROL,TUCSON / 1.6 / GDI,682,183.0,2018
10829,HYUNDAI,PETROL,HYUNDAI I10,660,134.0,2018
11022,HYUNDAI,PETROL,I20 / 1.25 /,642,137.0,2018
11269,HYUNDAI,PETROL,I30 PREMIUM T-GDI,618,147.0,2018
11582,HYUNDAI,PETROL,TUCSON PREMIUM SE T-GDI 2WD SA,588,178.0,2018
12523,HYUNDAI,PETROL,I 30N,512,186.0,2018
14326,HYUNDAI,PETROL,"KONA,KAUAI",404,142.0,2018
14444,HYUNDAI,PETROL,TUCSON PREMIUM T-GDI 2WD,398,184.0,2018
16061,HYUNDAI,PETROL,IX20 PREMIUM NAV MPI AUTO,326,187.0,2018
16852,HYUNDAI,PETROL,TUCSON / 1.6 / T-GDI DCT,298,177.0,2018
17285,HYUNDAI,PETROL,I30N,284,187.0,2018
17391,HYUNDAI,PETROL,I20 PREMIUM SE NAV T-GDI,280,137.0,2018
17607,HYUNDAI,PETROL,I30 / 1.4 /,274,154.0,2018
17649,HYUNDAI,PETROL,I10 / 1.25 /,272,138.0,2018
17675,HYUNDAI,PETROL,I20 PREMIUM NAV T-GDI S-A,272,132.0,2018
17745,HYUNDAI,PETROL,IX20 SE NAV MPI AUTO,270,187.0,2018
17795,HYUNDAI,PETROL,I30 N LINE T-GDI,268,152.0,2018
17816,HYUNDAI,PETROL,IX20 SE MPI AUTO,268,187.0,2018
18005,HYUNDAI,PETROL,I30 PREMIUM SE T-GDI,262,150.0,2018
18104,HYUNDAI,PETROL,I20 PREMIUM SE NAV MPI,260,141.0,2018
18134,HYUNDAI,PETROL,I30 PREMIUM T-GDI S-A,258,141.0,2018
18328,HYUNDAI,PETROL,I10 / 1.0 /,252,128.0,2018
19407,HYUNDAI,PETROL,HYUNDAI I 30,226,142.0,2018
19416,HYUNDAI,PETROL,I20 S MPI,226,137.0,2018
19518,HYUNDAI,PETROL,IX20 SE NAV MPI,222,172.0,2018
115,HYUNDAI,PETROL,I10,100949,133.0,2019
189,HYUNDAI,PETROL,I 30,75788,145.0,2019
194,HYUNDAI,PETROL,I20 I20 ACTIVE,74707,135.0,2019
274,HYUNDAI,PETROL,KONA KAUAI,58571,150.0,2019
283,HYUNDAI,PETROL,KONA,57788,145.0,2019
339,HYUNDAI,PETROL,I20,48928,134.0,2019
376,HYUNDAI,PETROL,TUCSON IX35,44272,183.0,2019
423,HYUNDAI,PETROL,TUCSON,39032,184.0,2019
603,HYUNDAI,PETROL,TUCSONIX35,28716,183.0,2019
667,HYUNDAI,PETROL,TUCSON SE NAV GDI 2WD,25910,183.0,2019
742,HYUNDAI,PETROL,I30,23132,143.0,2019
761,HYUNDAI,PETROL,I 20,22270,137.0,2019
797,HYUNDAI,PETROL,IX20,21072,178.0,2019
874,HYUNDAI,PETROL,IONIQ,19101,104.0,2019
906,HYUNDAI,PETROL,I 30 N,18496,187.0,2019
1122,HYUNDAI,PETROL,HYUNDAI TUCSON,14266,181.0,2019
1240,HYUNDAI,PETROL,I 10,12610,133.0,2019
1450,HYUNDAI,PETROL,I10 SE,10492,130.0,2019
1592,HYUNDAI,PETROL,I10 PLAY,9302,131.0,2019
1826,HYUNDAI,PETROL,IX 20,7786,173.0,2019
2015,HYUNDAI,PETROL,TUCSON SE NAV T-GDI 2WD S-A,6886,177.0,2019
2518,HYUNDAI,PETROL,IONIQ PREMIUM SE HEV S-A,5082,104.0,2019
2532,HYUNDAI,PETROL,I20 SE MPI,5050,135.0,2019
2580,HYUNDAI,PETROL,IONIQ PREMIUM HEV S-A,4938,102.0,2019
2631,HYUNDAI,PETROL,KONA PREMIUM,4826,146.0,2019
2836,HYUNDAI,PETROL,I10 GO SE,4370,129.0,2019
3132,HYUNDAI,PETROL,I10 SE AUTO,3822,155.0,2019
3265,HYUNDAI,PETROL,KAUAI,3634,145.0,2019
3333,HYUNDAI,PETROL,ELANTRA,3554,155.0,2019
3412,HYUNDAI,PETROL,IONIQ SE HEV S-A,3448,103.0,2019
3591,HYUNDAI,PETROL,I20 PLAY MPI,3244,139.0,2019
3711,HYUNDAI,PETROL,HYUNDAI I10,3120,134.0,2019
3747,HYUNDAI,PETROL,KONA SE,3080,145.0,2019
3763,HYUNDAI,PETROL,TUCSON PREMIUM SE T-GDI 2WD SA,3062,177.0,2019
3772,HYUNDAI,PETROL,TUCSON S CONNECT GDI 2WD,3050,180.0,2019
3846,HYUNDAI,PETROL,HYUNDAI KONA,2980,151.0,2019
3971,HYUNDAI,PETROL,I10 PREMIUM,2856,132.0,2019
3988,HYUNDAI,PETROL,"HYUNDAI KONA, KAUAI",2836,144.0,2019
4020,HYUNDAI,PETROL,I10 PREMIUM SE AUTO,2806,156.0,2019
4038,HYUNDAI,PETROL,TUCSON PREMIUM GDI 2WD,2792,185.0,2019
4198,HYUNDAI,PETROL,HYUNDAI I20,2661,136.0,2019
4218,HYUNDAI,PETROL,KONA PLAY T-GDI,2648,146.0,2019
4365,HYUNDAI,PETROL,KONA PREMIUM SE,2524,146.0,2019
4835,HYUNDAI,PETROL,KONAKAUAI,2178,146.0,2019
5113,HYUNDAI,PETROL,TUCSON N LINE T-GDI 2WD S-A,2014,177.0,2019
5241,HYUNDAI,PETROL,HYUNDAI I 30,1942,142.0,2019
5408,HYUNDAI,PETROL,I30 N PERFORMANCE T-GDI,1856,187.0,2019
5452,HYUNDAI,PETROL,I30 N,1832,187.0,2019
5528,HYUNDAI,PETROL,TUCSON N LINE T-GDI 2WD,1800,183.0,2019
5796,HYUNDAI,PETROL,I10 PREMIUM SE,1692,139.0,2019
5881,HYUNDAI,PETROL,I30I30N,1660,149.0,2019
6016,HYUNDAI,PETROL,I10 S,1610,128.0,2019
6054,HYUNDAI,PETROL,I20 S-CONNECT MPI,1592,135.0,2019
6092,HYUNDAI,PETROL,I20 ACTIVE,1586,136.0,2019
6169,HYUNDAI,PETROL,KONA PREMIUM GT 4X4 S-A,1556,189.0,2019
6204,HYUNDAI,PETROL,TUCSON PREMIUM T-GDI 2WD,1542,184.0,2019
6321,HYUNDAI,PETROL,"HYUNDAI I20, I20 ACTIVE",1506,134.0,2019
6736,HYUNDAI,PETROL,IONIQ FIRST EDITION HEV S-A,1376,103.0,2019
6773,HYUNDAI,PETROL,I20 SE T-GDI S-A,1364,129.0,2019
6843,HYUNDAI,PETROL,I30 SE NAV T-GDI,1342,141.0,2019
7089,HYUNDAI,PETROL,I20 PREMIUM NAV MPI,1278,139.0,2019
7157,HYUNDAI,PETROL,TUCSON SE NAV T-GDI 2WD,1262,183.0,2019
7210,HYUNDAI,PETROL,TUCSON PREMIUM T-GDI 2WD S-A,1252,177.0,2019
8333,HYUNDAI,PETROL,I40,1002,164.0,2019
8363,HYUNDAI,PETROL,I20 SE T-GDI,996,131.0,2019
8394,HYUNDAI,PETROL,I10 PREMIUM AUTO,990,156.0,2019
8782,HYUNDAI,PETROL,"TUCSON, IX35",924,180.0,2019
8790,HYUNDAI,PETROL,I30 N LINE T-GDI,924,150.0,2019
9393,HYUNDAI,PETROL,IX20 SE NAV MPI AUTO,836,187.0,2019
9662,HYUNDAI,PETROL,KONA PREMIUM SE GDI HEV S-A,796,122.0,2019
9958,HYUNDAI,PETROL,HYUNDAI I 30N,756,187.0,2019
10030,HYUNDAI,PETROL,I30 I30N,744,154.0,2019
10830,HYUNDAI,PETROL,IX20 SE MPI AUTO,660,187.0,2019
10936,HYUNDAI,PETROL,IX20 SE NAV MPI,650,172.0,2019
10979,HYUNDAI,PETROL,TUCSON PREMIUM SE T-GDI 2WD,646,184.0,2019
11198,HYUNDAI,PETROL,HYUNDAI IONIQ,624,103.0,2019
11659,HYUNDAI,PETROL,I30 SE T-GDI,582,139.0,2019
11784,HYUNDAI,PETROL,SANTA FE,570,228.0,2019
11993,HYUNDAI,PETROL,I20 PREMIUM NAV T-GDI,552,134.0,2019
12051,HYUNDAI,PETROL,HYUNDAI IX20,548,187.0,2019
12108,HYUNDAI,PETROL,I30 N LINE  NAV T-GDI,544,152.0,2019
12494,HYUNDAI,PETROL,I20 PREMIUM NAV T-GDI S-A,514,133.0,2019
12877,HYUNDAI,PETROL,IX20 SE MPI,490,172.0,2019
13100,HYUNDAI,PETROL,KONA IRON MAN EDITION S-A,474,166.0,2019
13554,HYUNDAI,PETROL,I30 SE NAV T-GDI S-A,446,140.0,2019
13809,HYUNDAI,PETROL,KONA PREMIUM GDI HEV S-A,432,122.0,2019
14987,HYUNDAI,PETROL,KONA S,370,142.0,2019
15484,HYUNDAI,PETROL,I20 PLAY T-GDI,350,134.0,2019
16879,HYUNDAI,PETROL,IX20 PREMIUM NAV MPI AUTO,296,187.0,2019
18141,HYUNDAI,PETROL,IONIQ SE CONNECT HEV S-A,258,102.0,2019
18188,HYUNDAI,PETROL,I20 PREMIUM SE NAV T-GDI,256,137.0,2019
18553,HYUNDAI,PETROL,IX20 PREMIUM NAV MPI,246,172.0,2019
18765,HYUNDAI,PETROL,I30 N LINE  NAV T-GDI S-A,242,144.0,2019
19394,HYUNDAI,PETROL,I30 PREMIUM T-GDI,226,147.0,2019
605,HYUNDAI,PETROL,I10,28698,119.0,2020
620,HYUNDAI,PETROL,KONA,27889,133.0,2020
678,HYUNDAI,PETROL,I 30,25341,140.0,2020
926,HYUNDAI,PETROL,KONA KAUAI,18003,144.0,2020
995,HYUNDAI,PETROL,TUCSON IX35,16400,181.0,2020
1000,HYUNDAI,PETROL,I20 I20 ACTIVE,16253,132.0,2020
1052,HYUNDAI,PETROL,I20,15221,132.0,2020
1223,HYUNDAI,PETROL,TUCSON,12928,181.0,2020
1748,HYUNDAI,PETROL,I30,8344,141.0,2020
1805,HYUNDAI,PETROL,KONA  KAUAI,7923,133.0,2020
1934,HYUNDAI,PETROL,I 20,7273,136.0,2020
2144,HYUNDAI,PETROL,I20,6371,118.0,2020
2232,HYUNDAI,PETROL,I10,5974,132.0,2020
2467,HYUNDAI,PETROL,IONIQ,5239,104.0,2020
2487,HYUNDAI,PETROL,I20  I20 ACTIVE,5167,134.0,2020
2497,HYUNDAI,PETROL,TUCSON SE NAV GDI 2WD,5127,182.0,2020
2619,HYUNDAI,PETROL,I 30 N,4859,187.0,2020
3078,HYUNDAI,PETROL,I 10,3909,117.0,2020
4231,HYUNDAI,PETROL,HYUNDAI KONA  KAUAI,2631,134.0,2020
4588,HYUNDAI,PETROL,TUCSON,2354,139.0,2020
4610,HYUNDAI,PETROL,I10 SE CONNECT MPI,2335,120.0,2020
4621,HYUNDAI,PETROL,KONA PREMIUM GDI HEV S-A,2324,121.0,2020
5024,HYUNDAI,PETROL,HYUNDAI TUCSON IX35,2056,182.0,2020
5169,HYUNDAI,PETROL,KONA PREMIUM SE GDI HEV S-A,1984,122.0,2020
5610,HYUNDAI,PETROL,KONA PLAY T-GDI,1765,146.0,2020
5837,HYUNDAI,PETROL,I20 PLAY MPI,1677,139.0,2020
5863,HYUNDAI,PETROL,HYUNDAI I20  I20 ACTIVE,1667,135.0,2020
5897,HYUNDAI,PETROL,KAUAI,1651,143.0,2020
6038,HYUNDAI,PETROL,IONIQ PREMIUM HEV S-A,1599,102.0,2020
6327,HYUNDAI,PETROL,I 20,1504,118.0,2020
6663,HYUNDAI,PETROL,I20 SE MPI,1398,134.0,2020
6803,HYUNDAI,PETROL,TUCSON N LINE T-GDI 2WD S-A,1354,176.0,2020
6858,HYUNDAI,PETROL,IONIQ PREMIUM SE HEV S-A,1340,104.0,2020
6992,HYUNDAI,PETROL,TUCSON N LINE T-GDI 2WD,1304,183.0,2020
7348,HYUNDAI,PETROL,HYUNDAI TUCSON,1219,182.0,2020
7503,HYUNDAI,PETROL,I10 PREMIUM MPI,1176,121.0,2020
7900,HYUNDAI,PETROL,I10 PLAY,1088,131.0,2020
8004,HYUNDAI,PETROL,ELANTRA,1066,155.0,2020
8168,HYUNDAI,PETROL,KONA PREMIUM,1033,146.0,2020
8726,HYUNDAI,PETROL,I20 ACTIVE,933,137.0,2020
8980,HYUNDAI,PETROL,HYUNDAI I10,891,117.0,2020
9003,HYUNDAI,PETROL,TUCSON IX35,888,142.0,2020
9506,HYUNDAI,PETROL,TUCSON   16   GDI,819,178.0,2020
9921,HYUNDAI,PETROL,I10 SE CONNECT MPI AUTO,759,128.0,2020
10310,HYUNDAI,PETROL,TUCSON SE NAV T-GDI 2WD S-A,713,176.0,2020
11093,HYUNDAI,PETROL,I30 I30N,635,147.0,2020
11298,HYUNDAI,PETROL,HYUNDAI I 30,615,139.0,2020
11390,HYUNDAI,PETROL,KONA   10   T-GDI,606,143.0,2020
11979,HYUNDAI,PETROL,SANTA FE,554,177.0,2020
12490,HYUNDAI,PETROL,I10 PREMIUM MPI AUTO,514,128.0,2020
12960,HYUNDAI,PETROL,IX20,485,174.0,2020
13114,HYUNDAI,PETROL,I30 N,474,187.0,2020
13299,HYUNDAI,PETROL,I 10,461,132.0,2020
13794,HYUNDAI,PETROL,TUCSON N LINE GDI 2WD,433,178.0,2020
14374,HYUNDAI,PETROL,HYUNDAI I10,401,133.0,2020
14789,HYUNDAI,PETROL,TUCSON PREMIUM GDI 2WD,380,183.0,2020
14933,HYUNDAI,PETROL,TUCSON PREMIUM SE T-GDI 2WD SA,373,178.0,2020
15874,HYUNDAI,PETROL,I30 N PERFORMANCE T-GDI,334,188.0,2020
16224,HYUNDAI,PETROL,IONIQ SE CONNECT HEV S-A,321,102.0,2020
16694,HYUNDAI,PETROL,HYUNDAI IONIQ,304,104.0,2020
16728,HYUNDAI,PETROL,IONIQ FIRST EDITION HEV S-A,302,103.0,2020
16823,HYUNDAI,PETROL,I20 PLAY T-GDI,298,134.0,2020
16860,HYUNDAI,PETROL,TUCSON  IX35,297,180.0,2020
